task_index,classification_type
0,Environment Disturbance / Unable to Detect Change
1,Instruction Error
2,Instruction Error
3,Environment Disturbance / Unable to Detect Change
4,Environment Disturbance / Unable to Detect Change
5,Environment Disturbance / Unable to Detect Change
6,False Assumptions
7,Environment Disturbance / Unable to Detect Change
8,Environment Disturbance / Unable to Detect Change
9,Environment Disturbance / Unable to Detect Change
10,Environment Disturbance / Unable to Detect Change
11,Environment Disturbance / Unable to Detect Change
14,Environment Disturbance / Unable to Detect Change
15,Environment Disturbance / Unable to Detect Change
16,Environment Disturbance / Unable to Detect Change
17,Instruction Error
18,Instruction Error
19,Instruction Error
20,Instruction Error
21,Environment Disturbance / Unable to Detect Change
22,Environment Disturbance / Unable to Detect Change
23,Environment Disturbance / Unable to Detect Change
24,Environment Disturbance / Unable to Detect Change
25,Environment Disturbance / Unable to Detect Change
27,Instruction Error
28,Environment Disturbance / Unable to Detect Change
29,Environment Disturbance / Unable to Detect Change
30,Environment Disturbance / Unable to Detect Change
31,Environment Disturbance / Unable to Detect Change
34,Instruction Error
35,Instruction Error
36,Environment Disturbance / Unable to Detect Change
37,Instruction Error
38,Instruction Error
39,Instruction Error
40,Environment Disturbance / Unable to Detect Change
41,Instruction Error
47,Environment Disturbance / Unable to Detect Change
48,Environment Disturbance / Unable to Detect Change
49,Instruction Error
50,Environment Disturbance / Unable to Detect Change
52,Environment Disturbance / Unable to Detect Change
53,Environment Disturbance / Unable to Detect Change
54,Instruction Error
55,Environment Disturbance / Unable to Detect Change
56,Environment Disturbance / Unable to Detect Change
58,Instruction Error
59,Instruction Error
60,Instruction Error
61,Instruction Error
62,Instruction Error
64,Environment Disturbance / Unable to Detect Change
65,Planning Errors (Sub-plan & Action)
66,Instruction Error
67,Instruction Error
68,Environment Disturbance / Unable to Detect Change
69,Environment Disturbance / Unable to Detect Change
70,Instruction Error
71,Instruction Error
72,Instruction Error
73,Environment Disturbance / Unable to Detect Change
74,Instruction Error
75,Environment Disturbance / Unable to Detect Change
76,Instruction Error
77,Environment Disturbance / Unable to Detect Change
78,Instruction Error
79,Environment Disturbance / Unable to Detect Change
80,Instruction Error
81,Instruction Error
82,Instruction Error
83,Environment Disturbance / Unable to Detect Change
84,Environment Disturbance / Unable to Detect Change
85,Environment Disturbance / Unable to Detect Change
86,Instruction Error
87,Instruction Error
88,Instruction Error
89,Instruction Error
90,Instruction Error
92,Environment Disturbance / Unable to Detect Change
93,Instruction Error
94,Instruction Error
95,Environment Disturbance / Unable to Detect Change
96,Environment Disturbance / Unable to Detect Change
97,Instruction Error
98,Instruction Error
99,Instruction Error
100,Instruction Error
101,Instruction Error
102,Environment Disturbance / Unable to Detect Change
104,Instruction Error
105,Instruction Error
106,Instruction Error
107,Environment Disturbance / Unable to Detect Change
108,Instruction Error
109,Instruction Error
110,Instruction Error
111,Instruction Error
112,Environment Disturbance / Unable to Detect Change
113,Instruction Error
114,Environment Disturbance / Unable to Detect Change
115,Environment Disturbance / Unable to Detect Change
116,Instruction Error
117,Environment Disturbance / Unable to Detect Change
118,Planning Errors (Sub-plan & Action)
119,Environment Disturbance / Unable to Detect Change
120,Instruction Error
121,Instruction Error
122,Environment Disturbance / Unable to Detect Change
123,Instruction Error
124,Instruction Error
125,Instruction Error
126,Instruction Error
127,Instruction Error
128,Instruction Error
129,Environment Disturbance / Unable to Detect Change
130,Instruction Error
131,Environment Disturbance / Unable to Detect Change
132,Instruction Error
133,Instruction Error
134,Instruction Error
135,Instruction Error
136,Instruction Error
137,Instruction Error
138,Instruction Error
139,Instruction Error
140,Instruction Error
141,Instruction Error
142,Environment Disturbance / Unable to Detect Change
143,Instruction Error
