task_index,classification_type
0,Environment Disturbance / Unable to Detect Change
1,Environment Disturbance / Unable to Detect Change
2,Environment Disturbance / Unable to Detect Change
3,Instruction Error
4,Environment Disturbance / Unable to Detect Change
5,Environment Disturbance / Unable to Detect Change
6,Environment Disturbance / Unable to Detect Change
8,Instruction Error
9,Environment Disturbance / Unable to Detect Change
10,Environment Disturbance / Unable to Detect Change
11,Environment Disturbance / Unable to Detect Change
13,Instruction Error
17,Instruction Error
18,Instruction Error
19,Environment Disturbance / Unable to Detect Change
20,Environment Disturbance / Unable to Detect Change
21,Environment Disturbance / Unable to Detect Change
22,Instruction Error
24,Environment Disturbance / Unable to Detect Change
25,Environment Disturbance / Unable to Detect Change
26,Environment Disturbance / Unable to Detect Change
27,Instruction Error
28,Instruction Error
30,Environment Disturbance / Unable to Detect Change
34,Environment Disturbance / Unable to Detect Change
35,Environment Disturbance / Unable to Detect Change
36,Environment Disturbance / Unable to Detect Change
37,Instruction Error
38,Instruction Error
39,Instruction Error
41,Instruction Error
44,Instruction Error
47,Environment Disturbance / Unable to Detect Change
48,Environment Disturbance / Unable to Detect Change
49,Instruction Error
50,Environment Disturbance / Unable to Detect Change
52,Environment Disturbance / Unable to Detect Change
53,Environment Disturbance / Unable to Detect Change
54,Environment Disturbance / Unable to Detect Change
55,Environment Disturbance / Unable to Detect Change
56,Instruction Error
57,Environment Disturbance / Unable to Detect Change
58,Environment Disturbance / Unable to Detect Change
59,Instruction Error
60,False Assumptions
61,Instruction Error
62,Instruction Error
63,Instruction Error
64,Environment Disturbance / Unable to Detect Change
65,Instruction Error
66,Instruction Error
68,Environment Disturbance / Unable to Detect Change
69,Environment Disturbance / Unable to Detect Change
70,Instruction Error
71,Instruction Error
72,Instruction Error
73,Environment Disturbance / Unable to Detect Change
74,Instruction Error
75,Instruction Error
76,Instruction Error
77,Instruction Error
78,Environment Disturbance / Unable to Detect Change
79,Environment Disturbance / Unable to Detect Change
80,Environment Disturbance / Unable to Detect Change
81,Instruction Error
82,Environment Disturbance / Unable to Detect Change
83,Environment Disturbance / Unable to Detect Change
84,Environment Disturbance / Unable to Detect Change
85,Instruction Error
86,Instruction Error
87,Environment Disturbance / Unable to Detect Change
88,Instruction Error
89,Environment Disturbance / Unable to Detect Change
90,Instruction Error
91,Environment Disturbance / Unable to Detect Change
92,Environment Disturbance / Unable to Detect Change
93,Instruction Error
94,Instruction Error
95,Environment Disturbance / Unable to Detect Change
96,Environment Disturbance / Unable to Detect Change
97,Instruction Error
98,Environment Disturbance / Unable to Detect Change
99,Instruction Error
100,Instruction Error
101,Environment Disturbance / Unable to Detect Change
102,Environment Disturbance / Unable to Detect Change
103,Instruction Error
104,Instruction Error
105,Instruction Error
106,Environment Disturbance / Unable to Detect Change
107,Environment Disturbance / Unable to Detect Change
109,Instruction Error
110,Environment Disturbance / Unable to Detect Change
112,Environment Disturbance / Unable to Detect Change
113,Environment Disturbance / Unable to Detect Change
114,Environment Disturbance / Unable to Detect Change
115,Environment Disturbance / Unable to Detect Change
116,Environment Disturbance / Unable to Detect Change
117,Environment Disturbance / Unable to Detect Change
118,Environment Disturbance / Unable to Detect Change
119,Environment Disturbance / Unable to Detect Change
120,Environment Disturbance / Unable to Detect Change
121,Environment Disturbance / Unable to Detect Change
122,Environment Disturbance / Unable to Detect Change
123,Instruction Error
124,Environment Disturbance / Unable to Detect Change
125,Instruction Error
126,Instruction Error
127,Instruction Error
128,Instruction Error
129,Environment Disturbance / Unable to Detect Change
130,Environment Disturbance / Unable to Detect Change
131,Environment Disturbance / Unable to Detect Change
132,Instruction Error
133,Environment Disturbance / Unable to Detect Change
134,Instruction Error
135,Environment Disturbance / Unable to Detect Change
136,Environment Disturbance / Unable to Detect Change
137,Environment Disturbance / Unable to Detect Change
138,Instruction Error
139,Instruction Error
140,Environment Disturbance / Unable to Detect Change
141,Instruction Error
143,Environment Disturbance / Unable to Detect Change
