task_index,classification_type
0,Instruction Error
1,Instruction Error
2,Instruction Error
3,Instruction Error
4,Instruction Error
5,Instruction Error
6,Instruction Error
7,Environment Disturbance / Unable to Detect Change
8,Environment Disturbance / Unable to Detect Change
11,Instruction Error
16,Environment Disturbance / Unable to Detect Change
17,Instruction Error
18,Instruction Error
21,Environment Disturbance / Unable to Detect Change
23,Instruction Error
24,Environment Disturbance / Unable to Detect Change
25,Environment Disturbance / Unable to Detect Change
27,Environment Disturbance / Unable to Detect Change
28,Environment Disturbance / Unable to Detect Change
34,Instruction Error
35,Instruction Error
36,Environment Disturbance / Unable to Detect Change
37,Instruction Error
38,Instruction Error
39,Instruction Error
40,Instruction Error
41,Instruction Error
47,Environment Disturbance / Unable to Detect Change
48,Environment Disturbance / Unable to Detect Change
49,Environment Disturbance / Unable to Detect Change
50,Instruction Error
52,Instruction Error
53,Instruction Error
54,Instruction Error
55,Instruction Error
56,Environment Disturbance / Unable to Detect Change
58,Instruction Error
59,Instruction Error
60,Instruction Error
61,Environment Disturbance / Unable to Detect Change
62,Instruction Error
63,Instruction Error
64,Instruction Error
65,Instruction Error
67,Instruction Error
68,Instruction Error
69,Environment Disturbance / Unable to Detect Change
70,Instruction Error
71,Instruction Error
72,Instruction Error
74,Instruction Error
75,Instruction Error
76,Instruction Error
77,Instruction Error
78,Instruction Error
79,Instruction Error
80,Instruction Error
81,Instruction Error
82,Instruction Error
83,Instruction Error
85,Instruction Error
87,Instruction Error
89,Instruction Error
91,Instruction Error
93,Instruction Error
94,Instruction Error
95,Instruction Error
96,Environment Disturbance / Unable to Detect Change
97,Instruction Error
98,Instruction Error
99,Instruction Error
100,Instruction Error
102,Instruction Error
104,Instruction Error
105,Instruction Error
106,Instruction Error
110,Instruction Error
112,Instruction Error
113,Instruction Error
115,Instruction Error
116,Instruction Error
119,Instruction Error
120,Instruction Error
121,Instruction Error
123,Environment Disturbance / Unable to Detect Change
125,Instruction Error
126,Instruction Error
127,Instruction Error
128,Instruction Error
130,Instruction Error
131,Environment Disturbance / Unable to Detect Change
132,Instruction Error
133,Instruction Error
134,Environment Disturbance / Unable to Detect Change
135,Instruction Error
136,Instruction Error
137,Instruction Error
138,Instruction Error
139,Instruction Error
140,Environment Disturbance / Unable to Detect Change
141,Instruction Error
143,Instruction Error
